7712;Cebulka dynmka
7713;Cebulka koktajlowa
7714;Cebulka marynowana
7715;Cebulka prażona
7716;Cebulka zielona
5066;Chałka
5067;Chałka ozdobna
5068;Chałki
11810;Chałki zdobne
5069;Chałwa
5070;Cheddar
5072;Cherry brandy
5073;Chili
7748;Chilli
12054;Chilli czerwone
12053;Chilli zielone
7859;Chińska kapusta
5074;Chipsy
5078;Chipsy ziemniaczane
5079;Chleb
5080;Chleb baltonowski
11177;Chleb biały
5081;Chleb chrupki
5082;Chleb chrupki pszenny
5083;Chleb chrupki żytni
5084;Chleb gracham
5085;Chleb graham
5086;Chleb kołodziej
5087;Chleb lecytynowy
5088;Chleb łęczycki
5089;Chleb mazowiecki
11193;Chleb mieszany
5090;Chleb mieszany słonecznikowy
5091;Chleb mieszany sojowy
5092;Chleb mieszany z soją
5093;Chleb mieszany ze słonecznikiem
5094;Chleb mleczny
11195;Chleb na zakwasie
5095;Chleb pełen ziaren
5096;Chleb pełnoziarnisty
5097;Chleb pita
5098;Chleb praski
5099;Chleb pszenno-żytni
5100;Chleb pszenny
5101;Chleb pszenny lekki (chrupki)
5102;Chleb pszenny razowy
5103;Chleb pszenny zwykły
5104;Chleb pumpernikiel
5105;Chleb pytylowy
5106;Chleb razowy
5107;Chleb razowy na miodzie
5108;Chleb sitkowy
5109;Chleb słodowy
5110;Chleb słonecznikowy
5111;Chleb staropolski
5112;Chleb tostowy
5113;Chleb tostowy pszenny
5114;Chleb wasa żytni
5115;Chleb wiejski
11189;Chleb z dodatkami
5116;Chleb z musli
5117;Chleb z otrębami
5118;Chleb zakopiański
5119;Chleb zwykły
5120;Chleb żytni
5121;Chleb żytni jasny
5122;Chleb żytni jasny mleczny
5123;Chleb żytni lekki (chrupki)
5124;Chleb żytni pełnoziarnisty
5125;Chleb żytni pełnoziarnisty razowy
5126;Chleb żytni razowy
5127;Chleb żytni razowy na miodzie
5128;Chleb żytni razowy z soją i słonecznikiem
5129;Chleb żytni staropolski
5130;Chleb żytni wileński
5131;Chleb żytni zwykły
5132;Chlebek ryzowy
5134;Chlebek żytni lekki
11817;Chlep chrupki
11259;Chlep żytni
5136;Chocolate musli (lidl)
5137;Chrupki kukurydziane
5138;Chrzan
7823;Chudy boczek
11331;Ciasta
11329;Ciasteczka
11398;Ciasteczko
11335;Ciastka
11514;Ciastka tortowe
11402;Ciastko
5153;Ciasto drożdżowe
7963;Ciasto filio
11197;Ciasto filo
5155;Ciasto francuskie
5158;Ciasto kruche podstawowe
5160;Ciasto naleśnikowe bez piany
5161;Ciasto naleśnikowe biszkoptowe
5164;Ciecierzyca
5165;Cieciorka
5167;Cielęca wątróbka
5169;Cielęce nerki surowe
5170;Cielęce serca
5172;Cielęcina
5181;Cielęcina - łopatka
5182;Cielęcina - mięso z kością
5183;Cielęcina - nerkówka
5184;Cielęcina - sznyclówka
11713;Cielęcina - szynciówka
5185;Cielęcina - udziec
5173;Cielęcina bez kości
5174;Cielęcina górka nerkówka
5175;Cielęcina łopatka
5176;Cielęcina pieczeń cielęca
5177;Cielęcina sznycel panierowany
5178;Cielęcina udziec
5180;Cielęcina z kością
5186;Cielęcy kotlet panierowany
5187;Cielęcy mózg
5188;Cielęcy ozór surowy
7901;Ciemne piwo
11994;Ciemny muscovado
5193;Coctailowe
5194;Croissant
5196;Cukier
5197;Cukier biały
5198;Cukier brązowy
11520;Cukier brzozowy
5199;Cukier cynamonowy
5200;Cukier puder
5201;Cukier trzcinowy
5202;Cukier wanilinowy
5203;Cukier waniliowy
11404;Cukierek
11339;Cukierki
5204;Cukierki irysy
5205;Cukierki krówki
5207;Cukierki owocowe
5208;Cukinia
5210;Cukinia marynowana
5212;Cukinia surowa
7857;Cukrowa kapusta
11192;Cukry
5213;Curacao
5214;Curry
5215;Cykoria
5216;Cykoria surowa
5217;Cynamon
11410;Cytrus
11397;Cytrusy
5218;Cytryna
5220;Czarne jagody
5221;Czarne jagody mrożone
5222;Czarne oliwki
5223;Czarne porzeczki
5224;Czarne porzeczki - dżem niskosłodzony
5225;Czarne porzeczki - dżem wysokosłodzony
5226;Czarnuszka
11949;Czarny pieprz
5227;Czekolada
5228;Czekolada alpen gold
5229;Czekolada biała
5230;Czekolada deserowa
5231;Czekolada gorzka
5232;Czekolada i wyroby czekoladowe
5233;Czekolada kawowa
5234;Czekolada mleczna
5235;Czekolada mleczna z orzechami
5236;Czekolada mleczna z orzechami laskowymi
5237;Czekolada nadziewana
5238;Czekolada nugatowa
5239;Czekolada pełnomleczna z całymi orzechami
5240;Czekolada z orzechami
5241;Czekolada z orzechami laskowymi
11390;Czekoladka
5242;Czekoladka kinder niespodzianka
11317;Czekoladki
5245;Czekoladki mon cheri
5246;Czekoladki raffaello
5248;Czekoladowa posypka do deserów
5249;Czekoladowe jajeczka
5250;Czekoladowy mus
11254;Czereśnia
5251;Czereśnie
11524;Czerniak
5252;Czerniak bez skóry
12070;Czerwona cebula
11387;Czerwone porzeczki
5253;Czerwone wino
11999;Czerwony makaron o smaku pomidorów
5254;Czosnek
12028;Czosnek askaloński
5255;Czosnek pospolity
5256;Czosnek surowy
5257;Ćwikła
11256;Daktyl
5258;Daktyle
